ratio,merge_sort,quick_sort_2,quick_sort_3,comb_sort,heap_sort
0.2,0.07060437999999998,0.12037571,0.034029640000000014,0.09859471999999998,0.11809006
0.289,0.10554193000000014,0.22573433000000004,0.050626670000000075,0.17089644000000007,0.1804983
0.378,0.14280091,0.34974568000000006,0.06744399000000004,0.2361533699999999,0.2450862099999999
0.467,0.17796021,0.5040976200000001,0.08306450999999973,0.2822009500000001,0.31214917
0.556,0.2148422700000001,0.6963225599999999,0.09985321999999996,0.32933680000000043,0.37957570999999996
0.644,0.2551817700000004,0.8903920700000001,0.11494905999999964,0.39491960000000004,0.4489570999999998
0.733,0.2939252100000001,1.1219138199999992,0.1248987599999996,0.4557231199999986,0.5306882299999998
0.822,0.33570667000000115,1.3984110599999995,0.1483056299999994,0.5606378399999989,0.5998637500000001
0.911,0.3801148799999986,1.6880234999999986,0.1636161400000006,0.5943630599999998,0.6802763899999988
1.0,0.42416282000000366,2.079052299999998,0.18451191000000336,0.7128255899999999,0.7742415199999982
