ratio,insertion_sort,merge_sort,quick_sort,comb_sort,heap_sort
0.01,0.06333600999999997,0.0027276599999999872,0.0014726499999999864,0.0036647600000000225,0.004078530000000013
0.032,0.6627835,0.010526519999999984,0.003986610000000024,0.014468769999999975,0.016226130000000016
0.055,1.9202383900000002,0.017581599999999843,0.006694259999999996,0.025566509999999633,0.028355599999999724
0.078,5.031535300000001,0.026398659999999553,0.009141910000000308,0.0380271699999998,0.041406229999999766
0.1,9.82021034,0.06651946000000208,0.019784769999998276,0.10500895999999926,0.10510393000000277
