ratio,insertion_sort,merge_sort,quick_sort_2,quick_sort_3,comb_sort,heap_sort
0.01,0.07017647000000002,0.0029151200000000154,0.0027649499999999995,0.0017870099999999888,0.004016049999999993,0.0043791199999999916
0.032,0.7241681300000001,0.010431610000000013,0.011766969999999977,0.005528810000000006,0.014436689999999985,0.016093049999999942
0.055,2.18031795,0.0207736299999997,0.02714710999999994,0.010082580000000263,0.03180304000000049,0.03255929999999996
0.078,4.3362814599999995,0.028133270000000366,0.042777590000000386,0.012709249999999627,0.04505472999999931,0.045562789999999256
0.1,7.170561989999996,0.03746256000000159,0.06261740000000202,0.017535889999997778,0.05838439000000051,0.060891509999997595
