ratio,insertion_sort,merge_sort,quick_sort_2,quick_sort_3,comb_sort,radix_sort,heap_sort
0.01,0.03100057999999998,0.002556459999999994,0.021320139999999998,0.00019335000000000324,0.0027224600000000155,0.0005102099999999999,0.0019380799999999866
0.032,0.33282771,0.009133869999999988,0.21798208,0.0007319799999999877,0.010810409999999982,0.0015991899999999947,0.006737300000000024
0.055,0.93073129,0.016487350000000057,0.6430212700000001,0.0013036399999999837,0.019813249999999893,0.0027511900000000366,0.012240350000000167
0.078,1.8761817600000001,0.02439902000000025,1.2745886000000002,0.0016527100000001127,0.02918403000000023,0.0038716099999998475,0.01770676999999985
0.1,3.15712601,0.03192830999999998,2.1674843700000013,0.0022895999999995808,0.03877497999999946,0.004984859999999714,0.02374050999999966
