ratio,insertion_sort,merge_sort,quick_sort,comb_sort,heap_sort
0.01,0.08313503000000004,0.00280187999999999,0.00146563000000004,0.004323310000000013,0.004465160000000035
0.032,0.8344474999999999,0.014223069999999893,0.006057290000000037,0.01840937999999994,0.02119976999999995
0.055,2.9392726,0.025044340000001598,0.008660139999999216,0.03482318999999947,0.038145180000001486
0.078,4.60019673,0.026489099999999155,0.008960879999999349,0.04020730999999813,0.04462482999999793
0.1,6.991713390000001,0.036306760000002214,0.012855840000003126,0.05576864000000512,0.06080100000000073
