ratio,insertion_sort,merge_sort,quick_sort_2,quick_sort_3,comb_sort,radix_sort,heap_sort
0.01,0.06216170000000001,0.0027173400000000012,0.002226680000000003,0.002910690000000005,0.0038447700000000195,0.006552370000000007,0.003986660000000008
0.032,0.6582831900000001,0.009701470000000012,0.007741880000000023,0.008798310000000064,0.013388209999999966,0.021093809999999946,0.01494525999999996
0.055,2.0617241100000006,0.018145039999999925,0.01471662000000018,0.01598813000000012,0.027390849999999835,0.03771550000000001,0.029354189999999926
0.078,3.78877442,0.02701745999999936,0.02142303999999946,0.020989050000000377,0.043148399999999754,0.05535165000000042,0.043634820000000116
0.1,6.4685608299999995,0.03456786999999935,0.02919018000000051,0.027136499999998877,0.05886377000000209,0.06781347000000153,0.05664289000000196
